timestamp,price,portfolio_value,signal,position
2026-06-17 03:12:00+00:00,65853.66,10000.0,-1,short
2026-06-17 03:13:00+00:00,65832.46,9999.67990229693,-1,short
2026-06-17 03:14:00+00:00,65820.01,10000.152541175317,-1,short
2026-06-17 03:15:00+00:00,65740.0,10003.189957774484,-1,short
2026-06-17 03:16:00+00:00,65735.99,10003.342189252584,-1,short
2026-06-17 03:17:00+00:00,65754.16,10002.652402230875,-1,short
2026-06-17 03:18:00+00:00,65757.99,10002.507004085957,-1,short
2026-06-17 03:19:00+00:00,65755.64,10002.59621704694,-1,short
2026-06-17 03:20:00+00:00,65757.41,10002.529022603987,-1,short
2026-06-17 03:21:00+00:00,65764.0,10002.278846683621,-1,short
2026-06-17 03:22:00+00:00,65751.36,10002.758698524809,-1,short
2026-06-17 03:23:00+00:00,65724.0,10003.797365168395,-1,short
2026-06-17 03:24:00+00:00,65730.02,10003.568828136436,-1,short
2026-06-17 03:25:00+00:00,65716.16,10002.972256432387,0,flat
2026-06-17 03:26:00+00:00,65764.0,10002.972256432387,-1,short
